ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,RMA
T20140000003,1/01/2014,00.30.00,Vehicle overturned (no collision)              ,Wednesday,Off Carriageway On Right Bend                ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.88107,-37.80193,Arterial Other
T20140000006,1/01/2014,01.30.00,Collision with a fixed object                ,Wednesday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark No street lights,Serious injury accident                   ,100 km/hr                          ,146.70151,-38.45802,Local Road
T20140000007,1/01/2014,03.20.00,Collision with vehicle                   ,Wednesday,Cross Traffic(Intersections Only)              ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.99001,-37.81755,Arterial Highway
T20140000011,1/01/2014,03.35.00,Collision with vehicle                   ,Wednesday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Dark Street lights on,Other injury accident                    ,50 km/hr                          ,145.28114,-37.89864,Local Road
T20140000017,1/01/2014,08.25.00,Collision with vehicle                   ,Wednesday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.97684,-37.78711,Arterial Other
T20140000020,1/01/2014,10.20.00,Collision with vehicle                   ,Wednesday,Right Far (Intersections Only)               ,Day                             ,Serious injury accident                   ,100 km/hr                          ,148.55369,-37.79564,Arterial Other
T20140000023,1/01/2014,09.30.00,Collision with a fixed object                ,Wednesday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.91287,-38.50496,Arterial Highway
T20140000024,1/01/2014,11.57.00,Collision with vehicle                   ,Wednesday,Lane Side Swipe (Vehicles In Parallel Lanes)        ,Day                             ,Serious injury accident                   ,70 km/hr                          ,145.33019,-37.9022,Arterial Other
T20140000028,1/01/2014,12.55.00,Collision with a fixed object                ,Wednesday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.12676,-37.85702,Arterial Other
T20140000032,1/01/2014,11.50.00,Collision with vehicle                   ,Wednesday,Head On (Not Overtaking)                  ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.10662,-38.46018,Arterial Highway
T20140000037,1/01/2014,14.40.00,Collision with a fixed object                ,Wednesday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Other injury accident                    ,70 km/hr                          ,145.48616,-37.8427,Local Road
T20140000039,1/01/2014,15.10.00,Collision with vehicle                   ,Wednesday,Right Through                        ,Day                             ,Other injury accident                    ,60 km/hr                          ,142.48801,-38.38187,Arterial Highway
T20140000041,1/01/2014,14.45.00,Collision with a fixed object                ,Wednesday,Off Left Bend Into Object/Parked Vehicle          ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.52036,-37.945,Arterial Other
T20140000046,1/01/2014,16.45.00,Collision with a fixed object                ,Tuesday,Off Right Bend Into Object/Parked Vehicle          ,Day                             ,Other injury accident                    ,Not known                          ,145.12932,-37.7874,Arterial Other
T20140000048,1/01/2014,15.10.00,Vehicle overturned (no collision)              ,Wednesday,Off Carriageway On Right Bend                ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.72627,-37.21416,Local Road
T20140000051,1/01/2014,16.30.00,Collision with vehicle                   ,Wednesday,Head On (Not Overtaking)                  ,Day                             ,Other injury accident                    ,60 km/hr                          ,143.8201,-37.51945,Local Road
T20140000054,1/01/2014,15.50.00,No collision and no object struck              ,Wednesday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Serious injury accident                   ,40 km/hr                          ,144.99802,-37.82521,Arterial Other
T20140000056,1/01/2014,15.14.00,Collision with vehicle                   ,Wednesday,Right Through                        ,Day                             ,Other injury accident                    ,60 km/hr                          ,147.06577,-38.11143,Arterial Highway
T20140000057,1/01/2014,19.45.00,Collision with vehicle                   ,Wednesday,Right Near (Intersections Only)               ,Dark No street lights,Other injury accident                    ,80 km/hr                          ,145.27323,-38.49809,Arterial Highway
T20140000058,1/01/2014,19.00.00,Collision with vehicle                   ,Wednesday,Head On (Not Overtaking)                  ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.3386,-37.76052,Arterial Highway
